time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1517.4320729487154,,,3.0947116e-03,208781,1091.27701,678.71677,2.1977351e+03,1.0751689e+01,5.5870757e+03,4.9710445e+00,,,1000000000000,,,,,1091.27701,3.0274785e-03,678.71677,3.4236650e-03,6.4032473e-02,-1.0995407e-01
1517.4334618412122,,,3.0947158e-03,208782,1091.28418,678.71070,2.1860676e+03,1.0719745e+01,5.5537607e+03,4.9569778e+00,,,1000000000000,,,,,1091.28418,3.0325886e-03,678.71070,3.4376737e-03,5.9266835e-02,-1.1535525e-01
1517.434850733709,,,3.0947200e-03,208783,1091.28823,678.71400,2.1967539e+03,1.0699132e+01,5.5155371e+03,4.9430714e+00,,,1000000000000,,,,,1091.28823,3.0145778e-03,678.71400,3.4119326e-03,6.1803460e-02,-1.0621029e-01
1517.4362396262059,,,3.0947241e-03,208784,1091.28174,678.70818,2.1972800e+03,1.0669837e+01,5.4742612e+03,4.9257331e+00,,,1000000000000,,,,,1091.28174,3.0062026e-03,678.70818,3.4064746e-03,5.7736043e-02,-1.2500405e-01
1517.4376285187036,,,3.0947283e-03,208785,1091.28489,678.71360,2.2025427e+03,1.0648274e+01,5.4440278e+03,4.9111009e+00,,,1000000000000,,,,,1091.28489,2.9906454e-03,678.71360,3.3838104e-03,6.2357403e-02,-1.0239970e-01
1517.4390174114333,,,3.0947328e-03,208786,1091.28395,678.71546,2.1935803e+03,1.0618180e+01,5.4080645e+03,4.8964171e+00,,,1000000000000,,,,,1091.28395,2.9942286e-03,678.71546,3.3907355e-03,6.0902383e-02,-1.1296422e-01
1517.4404063039296,,,3.0947370e-03,208787,1091.27811,678.71162,2.1946782e+03,1.0590448e+01,5.3664702e+03,4.8838305e+00,,,1000000000000,,,,,1091.27811,2.9895667e-03,678.71162,3.3798867e-03,6.0397666e-02,-1.1175569e-01
1517.4417951964265,,,3.0947411e-03,208788,1091.28563,678.71433,2.1805098e+03,1.0567406e+01,5.3409541e+03,4.8724728e+00,,,1000000000000,,,,,1091.28563,2.9983805e-03,678.71433,3.3948226e-03,6.4325944e-02,-1.0343426e-01
1517.443184089157,,,3.0947456e-03,208789,1091.28592,678.70665,2.1991460e+03,1.0544421e+01,5.2955879e+03,4.8541746e+00,,,1000000000000,,,,,1091.28592,2.9680282e-03,678.70665,3.3661320e-03,5.9757549e-02,-1.1878314e-01
1517.444572981654,,,3.0947498e-03,208790,1091.28695,678.71507,2.2152112e+03,1.0522642e+01,5.2568008e+03,4.8407235e+00,,,1000000000000,,,,,1091.28695,2.9426324e-03,678.71507,3.3222125e-03,6.2869929e-02,-1.0954683e-01
1517.4459618741498,,,3.0947539e-03,208791,1091.28198,678.71208,2.1864351e+03,1.0491495e+01,5.2289380e+03,4.8284311e+00,,,1000000000000,,,,,1091.28198,2.9717153e-03,678.71208,3.3596423e-03,6.3002773e-02,-1.1161106e-01
1517.4473507668797,,,3.0947584e-03,208792,1091.28009,678.70979,2.1959224e+03,1.0467405e+01,5.2015132e+03,4.8130760e+00,,,1000000000000,,,,,1091.28009,2.9505782e-03,678.70979,3.3413584e-03,6.0454577e-02,-1.2084426e-01
1517.4487396593772,,,3.0947626e-03,208793,1091.28813,678.72139,2.2108796e+03,1.0458488e+01,5.1687534e+03,4.8038478e+00,,,1000000000000,,,,,1091.28813,2.9259531e-03,678.72139,3.3033048e-03,6.2806927e-02,-9.9704988e-02
1517.450128552107,,,3.0947670e-03,208794,1091.28099,678.71097,2.1846113e+03,1.0416272e+01,5.1332710e+03,4.7882595e+00,,,1000000000000,,,,,1091.28099,2.9514439e-03,678.71097,3.3419016e-03,5.8262955e-02,-1.2442208e-01
1517.451517444604,,,3.0947712e-03,208795,1091.28199,678.71286,2.2021543e+03,1.0405500e+01,5.1059219e+03,4.7772231e+00,,,1000000000000,,,,,1091.28199,2.9272272e-03,678.71286,3.3057933e-03,6.3642375e-02,-1.0431072e-01
1517.4529063373338,,,3.0947756e-03,208796,1091.28006,678.71737,2.2151057e+03,1.0386724e+01,5.0683442e+03,4.7607279e+00,,,1000000000000,,,,,1091.28006,2.9055146e-03,678.71737,3.2784792e-03,6.1456025e-02,-1.1495383e-01
1517.4542952300626,,,3.0947800e-03,208797,1091.28459,678.70541,2.1820088e+03,1.0352801e+01,5.0460552e+03,4.7504940e+00,,,1000000000000,,,,,1091.28459,2.9395111e-03,678.70541,3.3269571e-03,5.9543908e-02,-1.1681145e-01
1517.4556841225594,,,3.0947842e-03,208798,1091.28083,678.70927,2.2081455e+03,1.0341327e+01,5.0145908e+03,4.7376547e+00,,,1000000000000,,,,,1091.28083,2.9011855e-03,678.70927,3.2772850e-03,6.5653265e-02,-1.0505420e-01
